time,height,wind_speed,wind_direction,temperature,virtual_temperature,tke,sst,surface_heat_flux,invMOL,ustar,time,height,u,v,is_stable,stable_duration
2020-02-04 04:50:00+00:00,10,5.48,179.51,282.65,282.65,0.096,280.55,-12.027435,0.03112888,0.1625,2020-02-04 04:50:00+00:00,10,0.046865623,-5.4797993,0,0
2020-02-04 04:50:00+00:00,20,8.43,187.61,283.35,283.35,0.127,280.55,-12.027435,0.03112888,0.1625,2020-02-04 04:50:00+00:00,20,-1.1163793,-8.355753,0,0
2020-02-04 04:50:00+00:00,40,9.32,190.44,283.83,283.83,0.098,280.55,-12.027435,0.03112888,0.1625,2020-02-04 04:50:00+00:00,40,-1.6888382,-9.165709,0,0
2020-02-04 04:50:00+00:00,60,10.31,196.33,284.19,284.19,0.112,280.55,-12.027435,0.03112888,0.1625,2020-02-04 04:50:00+00:00,60,-2.8988554,-9.894076,0,0
2020-02-04 04:50:00+00:00,80,10.95,200.88,284.46,284.46,0.12,280.55,-12.027435,0.03112888,0.1625,2020-02-04 04:50:00+00:00,80,-3.9027107,-10.230902,0,0
2020-02-04 04:50:00+00:00,100,11.56,205.63,284.75,284.75,0.129,280.55,-12.027435,0.03112888,0.1625,2020-02-04 04:50:00+00:00,100,-5.00037,-10.422567,0,0
2020-02-04 04:50:00+00:00,120,12.13,210.19,285.09,285.09,0.131,280.55,-12.027435,0.03112888,0.1625,2020-02-04 04:50:00+00:00,120,-6.099802,-10.484718,0,0
2020-02-04 04:50:00+00:00,140,12.71,214.6,285.5,285.5,0.128,280.55,-12.027435,0.03112888,0.1625,2020-02-04 04:50:00+00:00,140,-7.2172956,-10.462062,0,0
2020-02-04 04:50:00+00:00,160,13.22,218.63,286.05,286.05,0.121,280.55,-12.027435,0.03112888,0.1625,2020-02-04 04:50:00+00:00,160,-8.253097,-10.327381,0,0
2020-02-04 04:50:00+00:00,180,13.7,222.38,286.58,286.58,0.113,280.55,-12.027435,0.03112888,0.1625,2020-02-04 04:50:00+00:00,180,-9.234411,-10.120061,0,0
2020-02-04 04:50:00+00:00,200,14.15,225.9,287.1,287.1,0.104,280.55,-12.027435,0.03112888,0.1625,2020-02-04 04:50:00+00:00,200,-10.161486,-9.847166,0,0
2020-02-04 04:50:00+00:00,220,14.55,229.23,287.62,287.62,0.093,280.55,-12.027435,0.03112888,0.1625,2020-02-04 04:50:00+00:00,220,-11.019255,-9.501501,0,0
